㞮	shutsu sui
瘰	rui ra rai
瘲	shou shu
瘳	chuu chu ryou
瘴	shou
瘵	sai sei
瘸	ka
瘹	chou
瘺	rou ru
瘻	rou ru
瘼	baku maku
癀	kou ou
癁	fuku buku
療	ryou
癃	ryuu ryu
癄	shou jou sou
癅	ryuu
癆	rou
癇	kan
癈	hai
癉	tan ta
癊	in on
癋	kaku gaku
癌	gan
癒	yu
癕	you
癖	heki
癘	rei rai
癙	sho
癜	den ten
癟	hetsu bechi
癡	chi
癢	you
癤	setsu sechi
癥	chou
癧	reki ryaku
癨	kaku
癩	rai
癪	shaku
癬	sen
癭	ei you
癮	in on
癯	ku gu
癰	you
癱	tan
癲	ten
癴	ren
癶	hatsu hachi
癸	ki
発	hotsu hochi hatsu
登	tou to
發	hotsu hatsu
白	haku byaku
百	hyaku haku
皀	hyuu kyuu hyoku
皁	sou zou
皃	bou baku
的	teki
皅	hae habi ha he be
皆	kai
皇	kou ou
皈	ki
皋	kou
皌	batsu machi
皍	soku
皎	kou kyou
皐	kou
皓	kou
皕	hyoku hiki hi
皖	kan
皙	seki
皚	gai
皛	kyou gyou tei haku
皜	kou gou
皝	kou ou
皟	saku
皠	sai se
皢	kyou
皣	you
皤	ha ba han ban
皥	kou gou
皦	kyou
皧	ai
皨	sei shou
皪	reki ryaku raku haku
皭	shaku zaku shou
皮	hi
皰	hou
皴	shun
皷	ko
皸	kun kin
皹	kun kin
皺	suu shuu
皽	ten sen shuu tan
皿	bai myou
盁	ei
盂	u
盃	hai
盅	chuu ju
盆	bon hon
盈	ei
盉	ka wa
益	eki yaku
盋	hatsu hachi
盌	wan
盍	kou gou
盎	ou
盒	kou gou
盔	kai
盖	gai kai kou
盗	tou
盙	fu
盛	sei jou
盜	tou
盞	san sen
盟	mei mou
盠	rei rai ri
盡	jin
監	kan
盤	ban han
盥	kan
盦	ou an on
盧	ro ryo
盨	shu su sho so
盪	tou
盬	ko ku
目	moku boku
盰	kan
盱	ku u ko
盲	mou bou
直	choku jiki
盶	gin gan
相	shou sou
盹	shun
盻	kei gei
盼	han hen fun bun
盾	jun ton
眀	bei myou
省	sei shou
眄	ben men
眆	hou
眇	byou myou
眈	tan
眉	bi mi
眊	bou mou baku maku
看	kan
県	ken kyou
眎	shi ji
眒	shin
眔	tou dou
眕	shin chin
眗	ku kou
眙	chi chou i
眚	sei shou
眛	mai
眜	batsu machi betsu mechi
眞	shin
真	shin
眠	min ben
眢	wan en on
眤	tei i
眥	sei shi sai
眦	sei shi sai
眨	sou shou
眩	gen kan ken
眭	ki kei e sui
眮	tou zu
眯	bei mai bi mi
眴	ken gen shun
眵	shi
眶	kyou kou
眷	ken
眸	bou mu
眹	chin jin shou
眺	chou
眼	gan gen gon
眽	baku myaku beki
眾	shuu shu
着	chaku jaku
睂	bi mi
睅	kan gen gan
睆	kan gen wan
睇	tei dai
睊	en dan
睍	ken gen
睎	ki ke
睏	kon
睒	sen dan
睖	chou ryou
睗	seki shaku
睚	gai
睛	sei shou
睜	sei jou
睞	rai
睟	sui sai
睠	ken
睡	sui
睢	ki kei ke
督	toku
睤	hei
睥	hei
睦	boku moku
睧	kon
睨	gei
睪	eki yaku jou nyou
睫	shou
睬	sai
睰	batsu machi
睱	ka ge
睲	sei shou
睳	kei ke
睴	kon gon
睹	to
睺	kou gu
睽	kei ke ki gi
睾	kou
睿	ei
瞀	bou mo mu baku maku
瞄	byou
瞆	ki i
瞋	shin
瞌	kou
瞍	sou su shou
瞎	katsu
瞑	mei myou min
瞔	saku shaku
瞕	shou
瞖	ei
瞚	shun
瞞	ban man bon
瞟	hyou byou
瞠	dou tou
瞢	bou mu mou
瞥	betsu hetsu
瞧	shou jou
瞪	dou tou
瞬	shun
瞭	ryou
瞮	tetsu techi
瞯	kan gen ken
瞰	kan
瞱	you
瞳	dou tou
瞵	rin ren
瞶	ki i
瞹	ai
瞻	sen
瞼	ken
瞽	ko
瞾	shou
瞿	ku
矃	gei nyou
矇	mou bou
矈	ben men
矉	hin bin
矍	kaku
矑	ro ru
矒	bou mu mou
矕	ban man ran
矗	chiku shuku chuu
矙	kan
矚	shoku soku
矛	mu bou
矜	kin kei kan
矞	itsu ichi shutsu juchi
矟	saku
矠	saku shaku zaku
矢	shi
矣	i
矤	shin
知	chi
矦	kou
矧	shin
矩	ku
矪	chuu chu
矬	sa za
短	tan
矮	wai ai
矯	kyou
矰	sou
矱	waku
石	shaku seki koku
矴	tei
矸	kan gan
矻	kotsu kuchi katsu kachi
矼	kou
砂	sa sha
砅	rei ri hyou
砆	fu
砉	keki kyaku kaku waku
砌	sei sai
砍	kan kon kin
砎	kai katsu kechi
砑	ga ge
砒	hi hei
研	ken
砕	sai
砝	kyou kou hou
砠	sho so
砡	giku gyoku goku
砢	ra ka
砣	ta da
砥	shi tei
砦	sai
砧	chin
砭	hen
砮	do nu
砰	hou hyou
砲	hou
破	ha
砵	ou hatsu
砷	shin
砺	rei
砿	kou
硃	shu
硄	kou
硅	kei kaku kyaku
硇	dou nyou
硈	katsu kechi
硌	raku reki ryaku
硎	kei
硏	ken
硒	sei
硙	gai
硜	kou kyou kei
硝	shou
硞	kaku kyaku koku
硠	rou
硡	kou gou
硣	kou kyou
硤	kou gyou
硨	sha
硪	gi
硫	ryuu
硬	kou gou
确	kaku gaku
硯	ken gen
硺	taku choku
硼	hou
硾	tsui zui da
碁	go ki
碆	ha ba
碇	tei
碊	sen zen san oku
碌	roku
碍	gai ge
碎	sai
碏	shaku saku seki
碑	hi
碓	tai
碔	bu mu
碕	ki
碗	wan
碘	ten
碚	hai
碝	zen nen
碞	gan
碟	katsu gachi setsu zechi
碡	toku doku chiku jiku
碣	ketsu
碤	ei you
碧	heki hyaku
碨	wai e i
碩	seki
碪	chin
碬	ka ge
碭	tou dou
碯	dou nou
碰	hou
碱	ken kan sen
碲	tei
碳	tan
碵	seki
確	kaku
碻	kaku
碼	ba me
碽	kou ku
碾	ten den
碿	sotsu sochi
磁	ji shi
磅	hou
磆	katsu gechi kachi
磇	hei hi
磈	i ki kai gai
磉	sou
磊	rai
磋	sa
磌	ten den shin
磎	kei
磐	han ban
磑	gai
磒	in un
磓	tai te tsui zui
磔	taku
磕	kai kou katsu kachi
磖	rou
磚	sen
磛	san zen sen
磟	riku roku
磠	ro
磡	kan kon
磤	in on
磦	hyou
磧	seki
磨	ma
磪	sai zui sui
磬	kei
磯	ki
磲	kyo go
磳	sou jou
磴	tou
磶	seki shaku
磷	rin rou ryou
磺	kou
磻	han ban ha
磽	kou kyou
磿	reki ryaku
礀	kan ken
礁	shou
礆	ken
礇	iku
礌	rai
礎	so sho
礐	kaku koku goku
礑	tou
礒	gi
礙	gai ge
礚	kai
礜	yo
礞	bou mu
礟	hou
礠	ji
礡	haku baku
礥	kin gin ken gen
礦	kou
礧	rai rui
礩	shitsu shichi
礪	rei
礫	reki
礬	ban han
礭	kaku
礱	rou ru
礴	haku baku
礵	sou
示	shi ji ki
礻	shi
礼	rei rai
礽	jou nyou
社	sha ja
礿	yaku you
祀	shi ji
祁	ki gi
祄	kai gai
祅	you
祆	ken ten
祇	ki gi shi
祈	ki
祉	shi chi
祊	hou hyou
祋	tai tatsu tachi
祏	seki jaku
祐	yuu
祑	chitsu jichi
祓	futsu hai
祔	fu bu
祕	hi
祖	so
祗	shi
祘	san
祙	mi bi
祚	so
祛	kyo ko
祜	ko go
祝	shuku shuu cho
神	shin jin
祟	sui
祠	shi
祢	dei nai ne
祥	shou
祧	chou
票	hyou
祩	shu chu
祫	kou gyou
祭	sai
祲	shin
祷	tou
祹	tou dou
祺	ki
祻	ko ku
祼	kan
祾	ryou rou
祿	roku
禀	rin hin
禁	kin kon gon
禄	roku
禅	zen
禊	kei
禋	in en
禌	shi
禍	ka
禎	tei
福	fuku
禑	gu go
禓	you shou
禔	shi ji tei dai
禕	i
禖	bai mai
禘	tei dai
禛	shin
禜	ei you
禝	shoku
禡	ba me
禦	gyo go
禧	ki
禨	ki ke gi
禩	shi
禪	zen sen
禫	tan don
禮	rei rai
禯	jou nyu
禰	dei nai ne
禱	tou
禳	jou
禴	yaku you
禸	juu nyu
禹	u
禺	guu gu
离	chi ri
禽	kin
禾	ka
禿	toku
秀	shuu
私	shi
秂	jin nin
秃	toku
秄	shi
秇	gei
秈	sen
秉	hei
秊	nen
秋	shuu
种	chuu
秏	kou kai bou mou
科	ka
秒	byou
秔	kou
秕	hi
秖	shi
秘	hi
秚	han ban
秝	reki ryaku
秞	yuu yu
租	so
秠	hi fuu fu hyuu hyu
秡	hatsu bachi
秢	rei ryou
秣	matsu batsu
秤	shou
秥	den nen
秦	shin jin
秧	ou
秩	chitsu
秪	chi
秫	jotsu shutsu chutsu
秬	kyo
秭	shi
称	shou
秱	tou zu
秸	katsu kechi kai
移	i
秼	shu
稀	ki ke
稂	rou ryou
稃	fu fuu bu
稅	zei datsu etsu
稇	kon
稈	kan
稉	kou
稊	tei dai
程	tei
稌	to zu sho jo
稍	sou shou
税	zei datsu etsu
稑	riku roku
稔	jin nin
稕	shun
稗	hai
稘	ki gi
稙	choku shoku chiki
稚	chi
稛	kon kin kun
稜	ryou
稞	ka ge ra
稟	rin hin
稠	chuu chou
稡	sotsu sochi sai se
稧	kei gei ketsu kechi
稫	hyoku hiki
稭	katsu kechi kai
種	shu
稯	sou su
稰	sho
稱	shou
稲	tou
稳	on
稴	ren ken kan gen
稵	shi shuu
稷	shoku
稸	kiku koku chiku toku
稹	shin ten den hen
稺	chi ji
稻	tou
稼	ka
稽	kei
稾	kou
稿	kou
穀	koku
穂	sui
穃	you
穄	sei sai
穅	kou
穆	boku moku
穇	san shin
穈	bon mon bi mi
穉	chi
穌	so
積	seki shi
穎	ei
穏	on
穐	shuu
穕	shou
穖	ki ke
穗	sui
穙	hoku boku
穜	tou zu shou shu
穝	sai
穟	sui zui
穠	jou nyu
穡	shoku
穢	ai wai e
穣	jou
穥	yo
穧	sei zai shi
穩	on
穪	shou
穫	kaku
穭	ryo ro
穰	jou
穴	ketsu
穵	atsu echi
究	kyuu
穸	seki joku kyuu
穹	kyuu
空	kuu
穽	sei
穾	you
穿	sen
窀	chun ton don tan
突	totsu
窂	rou
窃	setsu
窄	saku
窅	you ou ben men
窆	bin hou
窈	you
窊	wa e
窋	chutsu tatsu tachi
窐	kei ke wa e kou
窑	you
窒	chitsu tetsu
窓	sou
窔	you
窕	chou
窖	kou
窗	sou
窘	kin
窞	tan don ran
窟	kutsu kotsu
窠	ka
窣	sotsu sochi
窩	ka wa
窪	wa a
窬	yu tou zu
窮	kyuu
窯	you
窰	you
窳	wa e
窵	chou tou
窶	ku rou ru
窹	go
窺	ki
窻	sou
窼	sou shou
窿	ryuu ryu
竃	sou
竄	zan san
竅	kyou
竆	kyuu
竇	tou toku
竈	sou
竉	rou ru
竊	setsu
立	ritsu ryuu
竌	sho
竎	fuu fu
竑	kou ou
竒	ki
站	tan
竚	cho
竛	rei ryou
竜	ryuu ryou rou
竝	hei hou
竟	kei kyou
章	shou
竢	shi
竣	shun
童	dou tou
竦	shou
竨	chou jou
竩	gi
竪	ju
竫	sei jou
竬	ku
竭	ketsu
端	tan
竱	sen ten tan
竴	shun
競	kyou kei
竸	kei
竹	chiku
竺	toku chiku jiku
竻	roku kin kon
竼	hou bo
竽	u
竾	shi ji
竿	kan
笄	kei
笆	ha
笇	san
笈	kyuu
笊	sou
笋	jun shun
笏	kotsu
笑	shou
笔	hitsu
笘	sen chou
笙	sou shou
笛	teki jaku
笞	chi
笟	ko
笠	ryuu
笣	hou hyou kou kyou
笥	shi su
符	fu bu
笧	saku
笨	hon
笩	hai bai
笪	tan tatsu tachi
笫	shi shitsu shichi
第	dai
笭	rei ryou
笮	saku shaku zaku
笯	do nu da na
笰	futsu fuchi hi
笱	kou ku
笳	ka
笴	ka kou kan
笵	han
笶	shi
笿	raku
筀	kei ke
筁	kyoku koku
筅	sen
筆	hitsu
筇	kyou ku
筈	katsu
等	tou
筋	kin kon
筌	sen
筍	jun shun
筎	jo nyo
筏	batsu hatsu
筐	kyou
筑	chiku
筒	tou
答	tou
筕	kou gyou guu
策	saku
筝	sou shou
筠	in un
筤	rou ryou
筥	kyo
筦	kan
筧	ken
筩	tou zu you yu
筪	kou gou gyou
筬	sei jou
筭	san
筮	sei zei
筯	cho jo
筰	saku zaku shaku
筱	shou
筲	sou shou saku
筳	tei chou jou
筴	kyou saku
筵	en
筷	kai
筺	kyou
筿	shou
箄	hai bai hi heki hei byaku
箆	hei
箇	ka ko
箉	kai ge
箋	sen
箍	ko
箎	ko ku chi ji
箏	sou shou
箐	sei shou sen
箑	sou shou jou
箒	sou shuu
箔	haku
箕	ki
箖	rin
算	san
箘	kin
箙	fuku
箚	satsu tou
箛	ko ku
箜	kou ku
箝	kan ken
箞	ken
箟	kin
箠	sui zui
管	kan
箥	ha
箪	tan
箬	joku nyaku
箭	sen
箯	hen ben
箰	shun jun in
箱	shou sou
箲	sen
箴	shin
箵	sei shou
箶	ko go
箸	cho chaku
箺	shun
箻	ritsu
箼	oku
箽	tou tsu
節	setsu sechi
篁	kou
篂	sei shou
範	han
篅	sui zui sen zen ten den tan
篆	ten
篇	hen
篈	hou fu
築	chiku
篊	kou gu
篋	kyou
篌	kou go
篏	kan ken
篔	un en
篖	tou dou
篗	waku
篙	kou
篚	hi
篛	jaku hyaku
篝	kou
篠	shou
篡	san sen
篤	toku
篥	ritsu richi
篦	hei
篨	cho jo
篩	shi sai
篪	chi ji
篭	rou
篲	sui kei e
篳	hitsu hichi
篴	teki chaku chiku jiku
篵	sou su
篶	en
篷	hou
篸	shin san
篹	san zen
篺	hai bai hi bi hen ben be
篼	tou tsu
篾	betsu mechi
簀	saku
簁	shi sai
簂	ke kaku
簃	i chi ji
簄	ko go
簆	kou ku
簇	sou zoku soku
簉	shuu shu
簋	ki
簌	soku
簍	rou ru ku
簎	saku shaku seki
簏	roku
簑	sa sai
簒	san sen
簓	sen
簔	sa sai
簘	shou
簙	haku
簛	shi
簞	tan
簟	ten
簠	fu
簡	kan
簣	ki
簥	kyou gyou
簦	tou
簧	kou
簨	shun san zen
簪	shin san
簫	shou
簬	ro ru
簳	kan
簴	kyo go
簶	roku
簷	en tan
簸	ha
簹	tou
簺	sai
簽	sen
簾	ren
簿	bo haku
籀	chuu
籃	ran
籆	waku
籊	teki chaku
籌	chuu
籍	seki shaku
籐	tou
籑	sen
籒	shuu ju
籓	han hon
籔	su sou shu
籕	ryuu
籖	sen
籘	tou
籙	ryoku roku
籚	ro ru
籛	sen san
籜	taku
籝	ei you
籞	gyo go
籟	rai
籠	rou
籣	ran
籤	sen
籥	yaku
籧	kyo go
籩	hen
籬	ri
籭	shi sai se
籮	ra
籰	waku yoku iki
籲	yu yaku
米	bei mai me
籹	jo nyo
籼	sen
籽	shi
粃	hi
粆	sa sha shou
粇	kou
粉	fun
粋	sui sai
粏	ta
粐	ro
粒	ryuu
粔	kyo
粕	haku
粗	so
粘	nen
粛	shuku
粞	sei sai
粟	zoku shoku soku
粠	kou
粡	tou zu
粢	shi sei
粤	etsu ochi
粥	shuku iku
粦	rin
粧	shou
粫	ji
粮	ryou rou
粰	fuu bu fu
粱	ryou
粲	san
粳	kou
粵	etsu ochi
粶	roku
粷	kiku koku
粹	sui sai
粺	hai ha ba be
粻	chou tou jou
粼	rin
粽	sou
精	sei shou
粿	ka ge
糂	san shin
糄	hen
糅	juu
糇	kou gu
糈	sho
糉	sou
糊	ko go
糍	shi
糏	setsu sechi sotsu sochi
糒	hi bi
糓	koku
糔	shuu shu sou
糕	kou
糖	tou
糗	kyuu ku shou
糙	sou
糚	sou shou
糜	bi
糝	san shin
糞	fun
糟	sou
糠	kou
糢	bo mo
糤	san
糦	shi ki
糧	ryou rou
糩	kai ke
糫	kai gen
糯	da na
糰	dan
糲	rei ratsu rai
糴	teki
糵	getsu
糶	chou
糸	shi beki
糺	kyuu
系	kei
糾	kyuu
紀	ki
紂	chuu
紃	shun jun sen
約	yaku
紅	ku kou
紆	u
紇	kotsu gochi ketsu gechi
紈	kan gan
紉	jin nin kin kon
紊	bin bun
紋	mon bun
納	tou nou na
紏	tou tsu
紐	chuu juu
紑	fuu fu hai bai
紒	kei ketsu kechi kai
紓	sho jo
純	shun jun ton
紕	hi
紖	chin jin in
紗	sa sha
紘	kou gyou
紙	shi
級	kyuu
紛	fun
紜	un
紝	jin nin
紞	tan ton
素	so su
紡	bou hou
索	saku
紣	sai sui shutsu shuchi
紦	ha
紪	sei sai
紫	shi
紬	chuu
紭	kou gyou
紮	satsu
累	rui
細	sei sai
紱	futsu fuchi
紲	setsu
紳	shin
紵	cho
紹	shou jou
紺	kon kan
紼	futsu fuchi hi
紽	ta da
紾	shin ten den
紿	tai
絀	chutsu chuchi
絁	shi
終	shuu shu
絃	gen
組	so sho
絅	kei
絆	ban han
絇	ku gu
絈	baku batsu mechi ha he haku myuku
絋	kou
経	kei kyou
絍	jin nin
絎	kou
絏	setsu sechi ei
結	ketsu kei
絑	shu chu
絓	kai ge ka wa
絕	zetsu
絖	kou
絗	kotsu gochi
絙	kan gan kou
絚	kou
絛	jou tou
絜	ketsu kechi kei katsu
絝	ku ko
絞	kou kyou
絡	raku
絢	ken
絣	hou
絥	hi bi fuku buku
給	kyuu kyou
絧	tou zu
絨	juu
絪	in
絮	jo sho
絰	tetsu dechi
統	tou
絲	shi beki
絳	kou
絵	kai e
絶	zetsu
絸	ken
絹	ken
絺	chi
絻	bun mon ben men ban man
絽	ryo ro
絿	kyuu ku
綁	hou
綂	tou
綃	shou sou
綅	shin sen
綆	kou kyou hei hyoi han
綈	tei tai
綉	tou shuu tsu
綋	kou
綌	keki kyaku geki
綍	futsu fuchi hi
綏	sui ta
綑	kon
經	kei kyou
綖	en sen
綗	gei kei
継	kei
続	zoku shoku
綜	sou
綝	chin rin shin
綞	ta
綟	rei
綠	ryoku roku
綢	chuu tou
綣	ken kan
綦	ki gi
綧	shun
綪	sen sei shou sou
綫	sen
綬	ju
維	i yui
綮	kei
綯	tou
綰	wan
綱	kou
網	mou bou
綳	hou hyou
綴	tei tetsu
綵	sai
綶	kuwa
綷	sai sui shutsu shuchi
綸	rin kan
綹	ryuu ru
綺	ki
綻	tan den
綽	shaku
綾	ryou
綿	men ben
緂	tan sen san
緃	shou shu
緄	kon gon
緅	shuu shu sou su
緆	seki shaku i
緇	shi
緊	kin
緋	hi
緌	zui ni
緍	bin
緎	yoku iki kyoku koku iku
総	sou
緑	ryoku roku
緒	sho cho
緖	sho cho
緗	shou sou
緘	kan
緙	kaku kyaku
線	sen
緜	ben betsu men
緝	shuu
緞	tan don dan
締	tei
緡	bin min kon
緢	bou myou byou
緣	en
緤	setsu
緥	hou ho
緦	shi
編	hen
緩	kan
緪	kou
緫	sou
緬	men ben
緭	i ki gi
緯	i
緱	kou ku
緲	byou myou
練	ren
緵	sou su
緶	hen ben
緹	tei dai tai
緺	kai ke ka ra
緻	chi
緼	un on
縀	ka ge
縁	en
縂	sou
縄	jou bin you
縆	kou
縈	ei you
縉	shin
縊	ei i
縋	tsui
縐	shuu shu su shuku
縑	ken
縒	sa shi
縕	un on
縗	sai sui sa
縛	baku haku
縜	in un
縝	shin chin
縞	kou
縟	joku
縠	koku goku
縡	sai
縢	tou dou
縣	ken
縦	juu shou
縧	tou jou
縨	kou
縫	hou
縬	shuku
縭	ri chi
縮	shuku
縯	en in
縱	juu shou
縲	rui
縳	ten den sen ken
縴	ken
縵	ban man
縶	chuu shou
縷	ru rou
縹	hyou
縺	ren
縻	bi
總	sou
績	seki
縿	san sen shou sou
繁	han
繃	hou hyou
繄	ei i
繅	sou
繆	kyuu byuu ryou
繇	you yuu yu chuu ju
繈	kyou
繊	sen
繋	kei
繍	shuu
繎	bin nen
繐	kei e sei sai
繒	shou zou sou
織	shoku shiki shi
繕	zen sen
繖	san
繘	kitsu itsu ichi kichi
繙	han hon
繚	ryou
繝	kan ken
繞	jou nyou
繟	sen tan dan zen
繡	shuu
繢	kai gai kotsu gochi ki gi
繤	san
繥	ki
繦	kyou
繧	un
繩	jou bin you
繪	kai e
繫	kei
繭	ken
繮	kyou kou
繯	ken gen kan
繰	sou
繳	shaku kyou kaku gyaku
繸	sui zui
繹	eki yaku
繻	ju
繼	kei
繽	hin
繾	ten kin
繿	ran
纁	kun
纂	san
纆	boku moku
纇	rai
纈	ketsu kechi
纉	san
纊	kou
續	zoku shoku
纍	rui rai
纎	sen
纏	ten den
纑	ro ru
纒	ten
纓	ei you
纔	san sai
纕	shou sou jou
纖	sen
纘	san
纚	shi ri sai sha
纛	tou toku
纜	ran
纝	rui
纞	ren
纮	kou gyou
纻	cho
绹	tou
缐	sen
缶	kan fu
缷	sha
缸	kou
缺	ketsu
缻	fu kan
缼	ketsu
缽	hachi hatsu
缾	hei
缿	tou zu kou gu
罃	ou you
罄	kei kyou
罅	ka ke
罇	son
罌	ou ei
罍	rai
罎	tan don
罏	ro ru
罐	kan
网	bou mou
罒	mou bou
罓	mou
罔	bou mou
罕	kan
罘	fu
罛	ro ku
罜	shu toku doku
罝	sha sho
罟	ko
罠	bin min
罡	kou
罣	kai ke kei
罤	tei dai kon
罥	ken
罦	fu fuu bu
罧	shin rin
罨	an en
罩	tou
罪	zai sai
罫	kei kai
罭	yoku iki kyoku
置	chi
罰	batsu bachi hatsu
罱	gun nan ran
署	sho
罵	ba
罶	ryuu ru
罷	hi hai
罸	batsu bachi
罹	ri ra
罽	kei
罾	sou
罿	shou shu tou zu
羀	ryuu ru
羂	ken
羃	beki
羅	ra
羆	hi
羇	ki
羈	ki
羊	you
羋	ba ma bi mi
羌	kyou
羍	tatsu tachi
美	bi mi
羏	you
羐	yuu yu
羑	yuu yu
羔	kou
羖	ko ku
羗	kyou
羘	sou
羚	rei ryou
羜	cho jo sho
羝	tei
羞	shuu
羡	sen en
羢	jou nyu
羣	gun kun
群	gun kun
羦	kan gan
羨	sen en
義	gi
羪	you
羭	yu
羮	kou kan
羯	katsu ketsu
羲	gi ki
羴	sen
羶	sen
羸	rui
羹	kou kan
羼	san sen
羽	u
羿	gei
翀	chuu ju
翁	ou
翃	kou
翅	shi
翆	sui
翈	kou gou
翊	yoku
翌	yoku
翎	rei ryou
翏	ryuu ru ryou riku
習	shuu juu
翔	shou
翕	kyuu
翛	yuu yu shuku
翟	keki jaku taku
翠	sui
翡	hi
翣	sou shou
翥	sho
翦	sen
翨	shi ki
翩	hen
翫	gan
翬	ki
翮	kaku gyaku reki ryaku
翯	koku goku kaku gaku
翰	kan
翲	hyou byou
翳	ei
翹	gyou
翺	gou kou
翻	hon han
翼	yoku
翽	kai ke
翾	ken
翿	tou dou
耀	you
老	rou
考	kou
耄	mou bou
者	sha
耆	ki gi shi
耇	kou ku
耈	kou ku
耉	kou ku
耊	tetsu
耋	tetsu
而	ji ni
耍	sa sha
耎	zen nen
耏	ji ni dai nai
耐	tai dou
耑	tan sen
耒	rai rui
耓	tei chou
耔	shi
耕	kou
耖	sou shou
耗	mou kou
耘	un
耙	ha
耜	shi
耝	sho zo
耞	ka ke
耟	kyo go
耠	kou gou
耡	jo
耤	seki jaku sha ja
耦	gou gu guu
耨	dou joku noku
耬	rou ru
耮	rou
耰	yuu u
耳	ji jou
耴	chou jou nyou
耵	tei chou
耶	ya ja
耷	tou chou
耹	kin gon ken gen
耺	un you
耻	chi
耼	tan ban man dan nan
耽	tan
耾	kou ou
耿	kou
聀	shoku
聄	shin
聆	rei ryou
聊	ryou
聒	katsu
聖	sei shou
聘	hei
聚	shuu shu ju
聞	bun mon
聟	sei
聠	hei hyou
聡	sou
聤	tei jou
聦	sou
聨	ren
聫	ren
聭	ki
聮	ren
聯	ren
聰	sou
聱	gou gyou
聲	sei shou
聳	shou
聴	chou tei
聵	gai ge kai
聶	jou nyou shou
職	shoku toku shiki
聹	dei nyou
聼	chou tei
聽	chou tei
聾	rou
聿	itsu ichi
肁	chou jou tou dou
肄	i
肅	shuku
肆	shi
肇	chou
肈	chou jou tou dou
肉	niku juu
肋	roku
肌	ki
肎	kou
肓	kou
肖	shou
肘	chuu
肚	to
肛	kou
肜	yuu yu chin
肝	kan
肞	sa
股	ko
肢	shi
肥	hi
肦	fun bun han
肧	hai
肩	ken
肪	bou hou
肫	shun sai sui
肬	yuu
肭	dotsu nachi datsu
肯	kou kai
肱	kou
育	iku
肴	kou
肸	kitsu kichi kochi ketsu kechi
肹	hi kitsu
肺	hai
胃	i
胄	chuu
胆	tan dan
胈	hatsu bachi hai bai
胊	ku gu kyou koku
背	hai
胍	ko ku ka ke
胎	tai
胏	shi
胒	dei hai
胔	shi ji seki jaku
胕	fu bu
胖	han
胗	shin kin
胘	ken gen
胙	so saku
胚	hai
胛	kou
胝	chi shi tei
胞	hou
胠	kyo ko kyou kou
胡	ko go
胤	in
胥	sho so
胭	in en etsu
胮	hou bou
胯	ko ka
胰	i
胱	kou
胲	kai
胳	kaku gyaku
胴	dou tou
胶	kou gyou
胸	kyou
胹	ji ni
胺	atsu achi
胼	hen ben
能	nou dai
胾	shi
脂	shi
脃	zei
脅	kyou kou kyuu
脆	zei sei
脇	kyou
脈	myaku baku
脉	myaku baku
脊	seki
脋	kyou
脖	hotsu bochi botsu
脗	bun mon bin min fun
脘	kan gen gan
脚	kyaku kya
脛	kei
脜	ju nyu
脞	sa za
脠	sen ten
脣	shin
脤	shin
脧	sai sui sa sen
脩	shuu
脫	datsu tai etsu
脬	hou hyou
脯	ho fu
脰	tou zu
脱	datsu tai etsu
脳	nou dou
脵	ko
脹	chou
脺	zei
脼	ryou
脾	hi hai hei
腁	hen ben
腅	tan dan
腆	ten
腇	dai nai wa wai
腊	seki shaku rou
腋	eki seki
腌	you ou en
腎	jin
腐	fu
腑	fu
腒	kyo ko
腓	hi
腔	kou
腕	wan
腗	hi
腘	kaku kyaku koku
腟	chitsu
腠	sou su
腡	ra ka ke kai
腥	sei shou
腦	nou dou
腧	shu yu
腨	sen zen
腩	dan nan tan don
腫	shou shu
腭	gaku
腮	sai
腯	totsu tochi dochi ton don
腰	you
腱	ken kin
腴	yu
腷	hyoku biki
腸	chou
腹	fuku
腺	sen
腽	otsu
腿	tai
膀	hou bou
膁	ken kan gen
膂	ryo
膃	otsu
膄	shuu nyu
膅	tou dou
膆	so
膈	kaku
膊	haku retsu hai
膋	ryou
膌	seki
膎	kai ge
膏	kou
膐	ryo ro
膓	chou
膕	kaku kyaku koku
膖	hou chou chu
膘	hyou shou
膚	fu
膛	tou
膜	maku baku
膝	shitsu
膞	sen zen shun
膠	kou
膢	rou ru ryuu ryo ro
膣	chitsu
膨	bou hou
膩	ji ni
膮	kyou kyuu ku
膰	han
膲	shou
膳	sen zen
膴	ko ku bu mu
膵	sui
膸	zui sui
膺	you ou
膻	tan
膽	tan
膾	kai
膿	dou nou
臀	den ton
臂	hi
臃	you
臅	shoku soku
臆	oku yoku
臈	rou
臉	ren sen ken
臊	sou
臋	den ton
臍	sei sai
臎	sui
臏	hin bin
臑	dau ju ji
臓	zou sou
臕	hyou
臗	kon kan
臘	rou
臙	en
臚	ryo ro
臛	koku kaku
臝	ra
臞	ku gu
臟	zou sou
臠	ren
臡	dei nai zei
臣	shin jin
臤	kan ken kou kyou gen
臥	ga
臧	zou
臨	rin
自	shi ji
臫	kyou
臭	shuu kyuu
臰	shuu
臱	ben men
臲	getsu gechi
至	shi
致	chi
臵	kaku
臶	sen zen son zon
臸	jitsu nichi choku chiki shin shi
臹	shuu shu
臺	tai dai
臻	shin
臼	kyuu
臽	kan gen kon
臾	yu you ki
臿	sou shou
舀	you
舁	yo
舂	shou sou
舃	shaku saku seki taku
舄	shaku saku seki taku
舅	kyuu
與	yo
興	kyou kou
舉	kyo
舊	kyuu
舌	zetsu setsu
