㞮	shutsu sui
喏	sha nya jaku nyaku daku
喑	in on an
喒	san
喓	eu
喔	aku raku oku
喕	ben men
喗	gin gon gun
喘	zen sen
喙	kai
喚	kan
喛	kan ken en on kai ke ka wa
喜	ki shi
喝	katsu ai
喞	soku shoku
喟	ki kuwai ke
喡	i
喢	tehu sehu sahu
喣	ku
喤	kou ou kyou
喥	to tsu taku daku
喦	jou nyou
喧	ken
喨	ryou
喩	yu
喪	sou
喫	kitsu keki
喬	kyou gyou
喭	gen gan
單	tan
喱	ri
喲	yaku
喳	sa
喴	i
営	ei
喻	yu
喿	sou shou
嗀	kaku koku
嗁	tei dai
嗂	eu
嗃	kou kyou
嗄	sa
嗅	kyuu
嗆	shou sou
嗇	shoku
嗈	you yu
嗉	so
嗊	kou ku
嗋	kyou kou
嗌	eki yaku aku ai ei
嗍	saku
嗎	ba
嗏	sa sha
嗐	katsu gechi kai
嗑	kahu
嗒	tou
嗓	sou
嗔	shin
嗕	shoku niku joku dou nu
嗖	shuhu shiu shiyu
嗗	atsu echi
嗘	kei
嗙	hou
嗚	o u
嗛	ken kan gan kehu
嗜	shi
嗝	kaku kyaku
嗞	shi
嗟	sa sha
嗡	rou ra
嗢	echi ochi otsu watsu
嗣	shi
嗤	shi
嗥	kou
嗦	sa
嗨	kai
嗩	sa
嗶	hitsu hichi
嗷	gou
嗸	gou
嗹	ren
嗺	sui sai se
嗻	sha sho
嗼	baku maku myaku
嗽	soku shuu sou
嗾	sou
嗿	tan ton
嘀	saku shaku
嘁	sahu shuku
嘂	kyou
嘄	keu
嘅	kai gai
嘆	tan
嘈	sau sou seu zeu
嘉	ka
嘊	gai
嘌	heu
嘍	rou ru
嘎	katsu kechi
嘏	ka ke
嘐	hau heu raurou biu miu
嘑	ko ku
嘒	kei ke
嘓	kaku kyoku
嘔	ou
嘕	ken en
嘖	saku
嘗	shou jou
嘘	kyo
嘙	ha
嘚	toku
嘛	ma
嘜	ba
嘞	roku
嘟	to zu
嘠	katsu
嘨	shou shitsu shuu
嘩	ka ke
嘪	bai me
嘫	dan zen nen
嘬	sai se sei
嘭	hou byou
嘮	tou chou ta kou kyou rou
嘯	shou shitsu
嘰	ki ke gi
嘱	shoku
嘲	tou chou
嘳	ki ke
嘴	shi
嘵	keu geu
嘶	sei
嘷	kou gou
嘸	bu
嘹	reu ryou
嘺	kyou gyou
嘻	ki i
嘼	kyuu ku chuu
嘽	tan sen ta dan
嘾	tan don
嘿	boku moku koku
噀	son
噁	o u aku
噂	son
噃	han bon
噄	kitsu
噅	ki
噆	sou san
噇	tou
噈	shuku sou kou gou
噉	tan dan
噊	itsu ichi shutsu juchi
噋	ton kuwaku
噌	sou so
噍	seu zeu shiu shiyu shaku zaku
噎	itsu etsu
噏	kyuu
噐	ki
噓	kyo
噔	tou
噕	ki
噗	boku
噘	ketsu
噙	kin
噛	gou
噞	gen
噟	you
噠	tatsu tachi dachi
噡	sen tan
噢	iku u ku iu
噣	chu chuu tou tsu shoku soku
噤	kin
噥	dou nu dau nyou
噦	etsu ochi echi ki ke kei kai
器	ki
噩	kaku
噪	sou
噫	i ai oku
噬	zei
噭	kyou keki kyaku
噮	en
噯	ai gai
噰	you yu
噱	kyaku gaku
噲	kuwai ke wai e katsu kachi
噳	gu
噴	fun
噵	dou tou
噶	katsu kachi
噷	kin
噸	ton
